"filename", "language", "JavaScript JSX", "PostCSS", "XML", "JavaScript", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/pattern-data-entry/data-entry-children/measurements-entry-switch-options/PickJumperShape.jsx", "JavaScript JSX", 37, 0, 0, 0, 0, 0, 0, 0, 10, 47
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/pattern-data-entry/data-entry-children/measurements-entry-switch-options/PickNecklineShape.jsx", "JavaScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 11, 54
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/pattern-data-entry/data-entry-children/measurements-entry-switch-options/PickUnit.jsx", "JavaScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/pattern-data-entry/data-entry-children/measurements-entry-switch-options/ReviewData.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 12, 53
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/pattern-data-entry/data-entry-children/utils/data_to_text_objects.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 4, 5, 51
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/pattern-data-entry/pattern-templates/YokeJumperPattern.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/Profile.css", "PostCSS", 0, 45, 0, 0, 0, 0, 0, 0, 9, 54
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/Profile.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 10, 69
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/pattern-list/PatternList.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/pattern-list/PatternTile.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
